Name,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
Dwyane Wade,44:36,9,21,.429,1,3,.333,8,9,.889,2,8,10,5,2,2,1,0,27,+12
LeBron James,42:01,11,20,.550,1,3,.333,9,11,.818,1,11,12,9,3,1,4,0,32,+12
Chris Bosh,39:42,7,10,.700,1,1,1.000,2,3,.667,0,4,4,0,0,3,0,2,17,+17
Mario Chalmers,26:42,3,8,.375,1,4,.250,2,2,1.000,0,3,3,4,3,0,0,2,9,+16
Udonis Haslem,20:28,2,4,.500,0,0,,0,0,,2,4,6,0,3,0,3,3,4,-4
LeBron James,41:05,8,14,.571,1,5,.200,13,16,.813,0,6,6,2,1,0,2,2,30,-18
Chris Bosh,37:55,5,12,.417,0,2,.000,4,4,1.000,1,4,5,5,1,2,4,4,14,+10
Dwyane Wade,32:52,7,11,.636,1,1,1.000,7,9,.778,0,3,3,4,2,0,3,3,22,-3
Mario Chalmers,25:05,2,6,.333,1,3,.333,0,0,,0,1,1,3,1,0,1,2,5,-11
Udonis Haslem,20:26,2,3,.667,0,0,,0,0,,1,2,3,0,2,0,0,3,4,-6
LeBron James,34:57,9,17,.529,2,3,.667,4,4,1.000,1,1,2,7,0,1,1,0,24,+26
Chris Bosh,31:52,6,11,.545,0,0,,5,5,1.000,1,8,9,2,0,4,1,2,17,+12
Dwyane Wade,29:13,7,14,.500,0,1,.000,0,1,.000,1,6,7,1,1,1,2,2,14,+23
Udonis Haslem,28:40,1,4,.250,0,0,,0,0,,2,10,12,2,3,0,0,2,2,+21
Mario Chalmers,25:03,1,7,.143,1,5,.200,2,2,1.000,0,4,4,2,1,0,3,1,5,+7
LeBron James,42:36,10,20,.500,1,1,1.000,1,4,.250,3,7,10,4,1,2,7,2,22,-5
Chris Bosh,36:09,5,10,.500,0,0,,4,4,1.000,1,4,5,3,1,2,1,3,14,-10
Dwyane Wade,35:45,9,16,.563,4,6,.667,8,10,.800,1,4,5,3,0,1,2,3,30,+7
Mario Chalmers,26:04,1,6,.167,1,3,.333,0,0,,0,4,4,1,3,0,2,3,3,+11
Udonis Haslem,24:20,0,2,.000,0,0,,0,0,,1,3,4,0,0,0,0,1,0,-6
LeBron James,42:39,6,16,.375,1,5,.200,2,5,.400,0,10,10,9,2,1,4,3,15,-9
Chris Bosh,39:04,13,18,.722,0,2,.000,3,5,.600,2,2,4,1,2,4,2,5,29,+6
Dwyane Wade,35:21,6,18,.333,0,0,,6,6,1.000,0,3,3,2,2,0,1,3,18,-13
